,CourseOne,CourseTwo,Relation
0,Fundamentals of Digital Freelancing,Marketing Strategies to Set Yourself Apart,digital_freelance
1,Marketing Strategies to Set Yourself Apart,,digital_freelance
2,,Developing Your Website,digital_freelance
3,Developing Your Website,Negotiate a Project Scope and a Pricing Framework,digital_freelance
4,Negotiate a Project Scope and a Pricing Framework,Managing Projects,digital_freelance
5,Managing Projects,Completing Projects,digital_freelance
